id_factura;id_promocion
573881;19322
774763;19228
943745;19351
397826;19576
616822;19472
447783;19427
439792;19413
905784;19241
604021;19416
269864;19415
350262;19521
369146;19277
625849;19595
536086;19152
289331;19166
341635;19183
393244;19448
505253;19196
618043;19381
772530;19419
608652;19249
577500;19383
574826;19258
682099;19139
707057;19512
925154;19170
544750;19462
814168;19552
970245;19567
242105;19176
969571;19197
507040;19379
876525;19432
727246;19504
680158;19341
355597;19397
950193;19493
848073;19579
642785;19575
586456;19317
373587;19101
556890;19544
641521;19321
372567;19248
418357;19577
384296;19222
267855;19584
246668;19580
743229;19495
680262;19414
372495;19515
956709;19576
230809;19557
978631;19572
331599;19460
815115;19305
300537;19195
686812;19283
247399;19299
384912;19449
914250;19400
982792;19524
667246;19163
451249;19306
696947;19404
465500;19563
827983;19460
410374;19293
672583;19288
503980;19327
895961;19546
430813;19295
896433;19469
413254;19150
541308;19331
905155;19409
976627;19107
590635;19345
802458;19221
656023;19397
453667;19410
483154;19334
859065;19431
735590;19338
888792;19261
242571;19310
582821;19153
656878;19334
433452;19493
415430;19434
389484;19555
323072;19537
233931;19399
638793;19519
949638;19220
957826;19405
983121;19405
479753;19181
623896;19559
378194;19556
582181;19554
269732;19361
589958;19561
790792;19138
721486;19298
909530;19459
924320;19176
663306;19305
761470;19565
255010;19550
257545;19268
529384;19380
600614;19331
899430;19368
326729;19401
814995;19294
964957;19518
557892;19377
747495;19251
439109;19423
972780;19467
751800;19537
447880;19491
943581;19486
927582;19307
421781;19542
339439;19171
602205;19556
786301;19460
495468;19276
614169;19419
1000059;19294
393364;19148
729597;19133
832030;19124
780917;19469
353415;19595
249819;19586
452506;19381
942659;19417
905360;19506
754517;19275
800635;19246
470311;19587
478171;19414
560189;19157
247694;19166
842817;19509
727644;19600
303834;19261
629242;19579
230087;19485
856975;19153
513835;19589
820609;19197
813661;19515
291759;19201
715391;19562
617349;19417
417125;19332
807743;19469
379736;19352
931910;19356
470510;19229
746926;19214
337841;19485
271098;19297
292865;19514
669289;19291
373977;19291
868975;19369
723209;19121
400575;19175
777289;19599
531250;19391
628735;19201
339708;19580
804924;19114
814509;19222
374982;19188
923714;19443
761333;19439
960169;19384
944387;19154
455056;19137
279039;19360
833235;19275
941480;19512
478756;19206
501236;19452
587224;19120
887201;19284
574752;19335
572507;19490
578090;19363
412630;19218
760920;19127
771446;19258
684521;19128
970904;19503
614630;19167
986970;19445
445271;19243
826970;19362
387103;19328
595374;19332
380034;19548
449198;19322
664377;19228
936672;19249
584567;19450
389047;19544
800421;19350
246189;19442
314527;19279
324054;19281
669141;19507
509573;19273
695180;19524
253099;19337
227603;19489
242375;19295
954634;19336
781510;19448
503223;19364
808640;19516
884503;19564
890242;19399
796353;19536
815560;19589
456393;19240
360297;19457
729143;19310
705574;19289
732497;19154
643970;19152
530327;19349
955955;19255
645061;19479
385422;19417
350609;19529
910881;19578
964706;19435
443356;19359
424586;19123
952121;19504
938924;19450
400900;19416
600921;19514
711599;19224
507538;19524
802766;19429
240285;19467
574150;19152
460549;19262
458342;19519
508303;19282
991631;19286
671997;19283
700589;19599
929635;19515
625377;19286
380169;19130
485589;19177
957775;19290
602658;19359
903913;19582
296946;19147
982191;19112
938805;19561
519082;19569
882513;19173
550013;19436
852805;19592
290878;19593
516316;19428
547631;19162
945279;19208
903255;19352
834957;19342
925226;19233
488813;19588
587492;19483
290156;19573
279962;19289
833042;19600
287173;19168
945253;19373
910041;19462
657274;19545
954155;19401
350527;19299
225121;19269
358275;19546
645499;19474
235386;19508
735663;19573
572557;19525
441888;19472
519726;19523
709076;19355
760678;19421
450377;19538
348417;19316
738793;19565
257650;19470
360441;19128
877026;19229
986646;19488
279410;19597
289703;19542
552049;19169
492426;19488
994953;19272
1007472;19579
618477;19409
327908;19275
527722;19129
658635;19324
448225;19383
902282;19479
601788;19406
813487;19528
744454;19399
1000363;19342
606907;19203
920551;19146
390437;19191
324696;19526
946895;19187
266539;19427
308098;19186
706711;19259
934083;19547
273429;19452
751840;19378
661010;19101
411411;19579
254650;19181
602941;19163
740625;19324
396364;19132
300406;19157
383113;19179
881344;19245
1007047;19276
399808;19504
967723;19147
255679;19263
416427;19471
298897;19242
699709;19279
867328;19558
1006996;19412
687778;19329
405214;19328
994439;19581
554282;19433
282966;19168
340799;19381
685933;19265
946960;19213
632117;19443
543580;19233
588650;19222
486643;19186
445105;19326
841837;19524
338677;19156
1000985;19171
755572;19378
829509;19291
783875;19105
240460;19450
843585;19216
233566;19139
571767;19216
918740;19481
693921;19287
440441;19465
990951;19258
433536;19543
276706;19260
603997;19546
526391;19157
240720;19223
360837;19130
420352;19379
744892;19548
870346;19279
389231;19245
496448;19310
657630;19121
705524;19448
349880;19593
407531;19334
274546;19203
674725;19117
696260;19397
470539;19486
813115;19483
999300;19384
276686;19247
376531;19159
268041;19462
866792;19542
351042;19150
451621;19217
929138;19163
565915;19337
324165;19534
548772;19395
730284;19133
229712;19110
717769;19375
1002102;19427
427524;19369
268077;19414
419715;19265
294483;19304
764512;19538
374850;19195
977187;19202
501308;19439
570804;19193
362705;19374
844502;19559
538819;19487
603685;19385
426246;19226
866094;19454
932213;19393
820095;19599
391821;19406
495256;19307
665780;19369
332978;19582
923727;19305
704241;19297
895924;19116
600770;19360
1004839;19567
958949;19411
583855;19483
406963;19137
438797;19514
969269;19268
290995;19206
948073;19116
448199;19266
479740;19297
968899;19225
847543;19138
684369;19177
817493;19146
362604;19558
318066;19387
652361;19478
619066;19404
237831;19260
867472;19539
879691;19437
649093;19574
977962;19536
628578;19334
652823;19292
537958;19248
647483;19346
257167;19535
560509;19519
698682;19201
902475;19284
312870;19362
371193;19391
276917;19488
424420;19270
461149;19589
263503;19102
641041;19293
469324;19471
630247;19491
494355;19157
